rollNo,name,location
b190124cs,Daniel,Gujarat
b190134cs,Alfred,Gujarat
b190164cs,Lawrence,Gujarat
b190180cs,Philip,Gujarat
b190186cs,Raymond,Gujarat
b190250cs,Claud,Gujarat
b190254cs,Hiram,Gujarat
b190272cs,Manuel,Gujarat
b190274cs,Augustus,Gujarat
b190275cs,Emmett,Gujarat
b190357cs,Burt,Gujarat
b190387cs,Morgan,Gujarat
b190394cs,General,Gujarat
b190414cs,Ole,Gujarat
b190417cs,Walker,Gujarat
b190426cs,Caleb,Gujarat
b190471cs,Orval,Gujarat
b190476cs,Karl,Gujarat
b190548cs,Frances,Gujarat
b190588cs,Dorsey,Gujarat
