rollNo,name,location
b190118cs,Louis,Telangana
b190127cs,Jesse,Telangana
b190218cs,Moses,Telangana
b190225cs,Fredrick,Telangana
b190285cs,Curtis,Telangana
b190327cs,Grant,Telangana
b190352cs,Christian,Telangana
b190407cs,Forest,Telangana
b190451cs,Hugo,Telangana
b190464cs,Frederic,Telangana
b190509cs,Grover,Telangana
b190511cs,Isom,Telangana
b190523cs,Wilford,Telangana
b190541cs,Axel,Telangana
b190555cs,Morton,Telangana
b190589cs,Enos,Telangana
b190590cs,Howell,Telangana
b190598cs,Raleigh,Telangana
